slang,formal
a,
aamiin,amin
aamin,amin
aaminn,amin
ab,
abadi,
abaikan,
abang,
abdet,update
abi,
abis,
abon,
abrakadabra,
abu,
abud,
aburizal,
abut,
acara,
aceh,
action,
acua,acuan
ada,
adab,
adalah,
adanya,
adapun,
adem,
adh,adalah
adi,
adil,
admin,
administrasi,
adu,
aduh,
aduk,
advocacy,
advocate,
aeeettt,
aeperti,seperti
agama,
agamanya,
agamis,
agar,
agen,
agenda,
agungkan,
agus,
ah,
aher,
ahli,
ahmad,
ahok,
ahoker,
ahy,
aing,saya
air,
airlangga,
airnya,
aja,
ajaaaaaaa,aja
ajak,
ajudan,
ajukan,
akademik,
akademis,
akademisi,
akal,
akan,
akbar,
ake,pake
akhbar,akbar
akhir,
akhirnya,
aki,aku
akibat,
aktif,
aktifitas,aktivitas
aku,
akun,
akunnya,
akur,
al,
ala,
alam,
alangkah,
alasan,
alat,
alert,
alex,
alhamdulilah,alhamdulillah
alhamdulillah,
alhamdulliah,alhamdulillah
ali,
aliansi,
alias,
alkhamdulillah,
all,
allaah,allah
allah,
allahu,
allahuakbar,
allahumma,
almaidah,
alumni,
aman,
amanah,
amanat,
amat,
ambil,
ambisius,
ambles,
amien,amin
amiin,amin
amiinn,amin
amin,
amit,
amitttt,
amp,sukses
ampun,
an,
anak,
analisa,
analisis,
analogi,
ancaman,
and,
anda,
andai,
andaikan,
andakah,
andalan,
andhika,
andika,
ane,saya
aneh,
anehnya,
ang,
anggap,
anggota,
anggotanya,
angin,
angka,
angkat,
angkatbuat,
anies,
aniesbaswedan,
aniesgabenerpembohong,
aniesnya,
aniespilihanrakyat,
aniespresiden,
aniespresidenri,
animo,
anis,anies
anjing,
anjink,anjing
anjir,
annas,
annies,anies
antar,
antara,
anti,
antitesa,
antithesa,antitesa
anyone,
apa,
apa-apa,
apaan,
apabila,
apakah,
apalagi,
apanya,
apapun,
apes,
api,
aplaus,applause
aplg,apalagi
aplikasi,
apple,
arab,
arah,
arahan,
arahannya,
arahkan,
aral,
argumen,
arief,
artikel,
artinya,
arus,
arya,
as,amerika
asal,
aseng,asing
aset,
asik,
asing,
asli,
aslkm,assalamualaikum
aspirasi,
assalamualaikum,
asupan,
asuuuuu,asu
at,
atas,
atasi,
atau,
ataupun,
atay,atau
ati,hati
atik,
attendees,
attending,
atuh,
atur,
aturan,
auranya,
awak,
awal,
awam,
awas,
aya,
ayat,
ayo,
azab,
b,
babi,
baca,
bacapres,
bacot,
bacotan,omongan
bacotlu,
badan,
badaq,badak
bagaikan,
bagaimana,
bagaimnpun,bagaimanapun
bagantong,
bagekan,bagaikan
bagi,
bagian,
bagiku,
bagus,
bah,
bahan,
bahas,
bahasan,
bahaya,
bahkan,
bahtera,
bahu,
bahwa,
baik,
baiklah,
baiknya,
bakal,
bakalan,
bakalnya,
bakri,
baksos,
bakti,
bali,
baliho,
balik,
balkot,
balloon,
balon,
balonpres,bacapres
bambang,
bandingkan,
bandung,
bang,abang
banget,
bangetz,banget
bangga,
banggakan,
bangkrut,
bangsa,
bangsat,
bangsatkan,
bangun,
bangunan,
banjir,
bantai,
banteng,
bantu,
bantuan,
banyak,
bapaaak,bapak
bapak,
bapakpolitikidentitas,
baperan,
bapuk,
barack,
barakallaah,
barakallaahu,
barakallah,
barakallahu,
barangkali,
barat,
barisan,
barokah,
baru,
barusan,
based,
basi,
basis,
basuki,
baswadan,baswedan
baswedan,
batal,
batasan,
bawa,
bawaslu,
bayangan,
bayar,
bayaran,
bayarin,
bazzer,buzzer
be,
beban,
bebas,
beberapa,
becus,
beda,
bedakan,
bedanya,
begini,
begitu,
begituan,
begitulah,
begonya,bodohnya
begoo,bodoh
begundal,
bekas,
bekasi,
bekerja,
bekum,
bela,
belaga,berlagak
belah,
belajar,
belaka,
belakang,
beli,
beliau,
belio,beliau
belonan,
belum,
benar,
benaran,
bencana,
benci,
bendahara,
bener,benar
beneran,benaran
benerkan,benarkan
bentar,
benteng,
bentrok,
bentuk,
benyebab,
ber,
berada,
beradu,
berai,
berakhir,
berakhlak,
berambisi,
beranak,
beranda,
berangkat,
berani,
berantas,
berapa,
berari,
berarti,
berasa,
berasal,
berat,
berbagai,
berbaik,
berbaju,
berbeda,
berbedalah,
berbicara,
berbondong,
berbuat,
bercerai,
bercermin,
berdampak,
berdasi,
berdiri,
berdoa,
berdua,
berduka,
beredar,
berekspresi,
berencana,
beres,
bereskan,
beretika,
bergabung,
bergelar,
bergema,
bergembira,
bergerak,
berguna,
berhak,
berhaluan,
berharap,
berhasil,
berhasilnya,
berhenti,
berhubungan,
beri,
berikan,
berikutnya,
beriman,
berimbas,
berisi,
berita,
beritain,
berjalan,
berjamaah,
berjuang,
berjuangmenang,
berjubal,
berkaca,
berkaitan,
berkarya,
berkat,
berkedok,
berkelas,
berkembang,
berkeruh,
berkoalisi,
berkoar,
berkualitas,
berkuasa,
berkumpul,
berkwalitas,berkualitas
berlaku,
berlalu,
bermain,
bermakna,
bermartabat,
bermasalah,
bermimpi,
berminat,
bermoral,
bernegosiasi,
berobah,
beropini,
beroposisi,
berpasangan,
berpeluang,
berpendapat,
berpendidikan,
berpihak,
berpijaklah,
berpikir,
berpikiran,
berpolitik,
berpotensi,
berpotensial,
berprestasi,
berpura,
berputar,
bersahabat,
bersaing,
bersalah,
bersama,
bersamaan,
bersamaorangbaikuntuklebihbaik,
bersandar,
bersanding,
bersatu,
bersatunya,
bersebrangan,
bersedia,
bersejarah,
bersepakat,
bersih,
bersikap,
bersinar,
bersinggungan,
bersitegang,
berstatus,
bersuara,
bersuka,
bersumpah,
bertambah,
bertarung,
bertarungnya,
bertemu,
bertentagan,
berteorinya,
berterima,
bertindak,
bertobat,
berubah,
berubaj,berubah
berulang,
beruntung,
berusaha,
besar,
besaran,
beserta,
best,
betah,
betawi,
bethesda,
betul,
bgaimna,bagaimana
bgsa,bangsa
bgusan,bagusan
bhkan,bahkan
biar,
biarkan,
biarkanlah,
biarlah,
biarpun,
biasa,
biaya,
bibit,
bicara,
bidang,
big,
biidznillah,
bijak,
bikin,
bila,
bilang,
bilangan,
bin,
binatang,
bingung,
bis,
bisa,
bisaa,bisa
bisakah,
bisanya,
bisikan,
bismillah,
bismillahirohmanirahim,
bisnis,
bisul,
bkn,bukan
blunder,
bo,
bobot,
bocah,
bocil,
bodo,
bodoh,
bodong,
bohong,
bokeb,porno
bokep,porno
bola,
boleh,
bondong,
boneka,
bong,kecebong
bonk,kecebong
bos,
bosok,buruk
boston,
bp,bapak
bpk,bapak
brafo,bravo
bravo,
bravonasdem,
bravopakanies,
breaking,
brewok,
brilian,
brimob,
brin,
bro,
brow,bro
bsr,besar
btp,
btw,
bu,ibu
buang,
buat,
buatan,
buatin,buatkan
bubar,
budak,
budaya,
bui,
buka,
bukan,
bukankah,
bukanlah,
bukannya,
bukti,
buktikan,
buktinya,
bulan,
bule,
bully,
bumi,
bumn,
bung,
bungkuk,
bungkus,
bunuh,
bupati,
bursa,
buru,
buruk,
buser,
busuk,
butek,keruh
butuh,
buzer,buzzer
buzerp,buzzer
buzerrp,buzzer
buzzep,buzzer
buzzer,
buzzernya,
buzzerp,buzzer
buzzerrp,buzzer
buzzr,buzzer
by,
bye,
byegubernurngibul,
byx,banyak
cabe,
cabut,
caci,
cacian,
cacing,
cadi,
cagub,
cair,
cak,
cakeeep,mantap
caleg,
calon,
calonin,
calonkan,
calonmu,
calonnya,
campur,
candaan,
cantik,
cantolan,
capitol,
caplin,
capres,
capreskan,
capresnasdem,
capresnya,
capresss,capres
cara,
care,
cari,
cat,
catat,
cawapres,
cawapresnya,
cbong,kecebong
cebong,kecebong
cegah,
cek,
celah,
cemeeen,penakut
cemen,penakut
cengar,
cengir,
cenul,
cepat,
cepatnya,
cerdas,
cerdik,
ceria,
cerita,
cermin,
ces,
cewek,
chaniago,
chaplin,
charlie,
childish,
china,
chunul,
cia,
ciamik,
cie,
cilik,rendah
cipta,
ciptakan,
ciri,
cita,
citra,
clear,
club,
coat,
coba,
cobalah,
coblos,
cocok,
cocokkah,
cocoknya,
cokrotv,
comenin,komentarin
comot,ambil
comunist,komunis
conference,
congkak,
contoh,
contohnya,
copy,
corong,
coy,
cpek,capek
crew,
cucu,
cuitan,
cukup,
cukuplah,
culas,
culun,
cuma,
cuman,
cumannanyadoank,
curangi,
cv,
d,
da,
dabpermainn,dan permainan
daerah,
daftar,
daftarkan,
daging,
dah,
dahulu,
dajjal,
dalam,
damai,
dan,
dapat,
dapuk,
dapur,
darah,
dari,
daripada,
dasar,
data,
datang,
day,
deadlock,
dear,
debat,
debatable,
definisi,
deh,
dekat,
deklarasi,
deklarasianiespresiden,
deklarasikan,
dekte,dikte
delakrasikan,
demi,
demikan,demikian
demikian,
demo,
demokat,
demokrasi,
demokrat,
den,
dengan,
dengar,
dengki,
dengkiny,dengkinya
dengkul,
deni,
denny,
depan,
derajat,
derajatnha,derajatnya
desa,
desember,
deui,juga
dg,dengan
dgrin,dengerin
di,
dia,
diacungkan,
diajak,
diajukan,
diakui,
dialah,
diam,
dianggap,
diangkat,
diantara,
diapresiasi,
diartikan,
diatas,
diatur,
dibacain,
dibahas,
dibalik,
dibanding,
dibandingkan,
dibanggakan,
dibawa,
dibelakang,
dibenci,
diberbagai,
diberikan,
diberitakan,
dibiarkan,
dibibir,
dibilng,dibilang
dibohongi,
dibuka,
dibuktikan,
dibunuh,
dicalonin,
dicalonkan,
dicalonkannya,
dicanangkan,
dicapreskan,
dicatat,
diciduk,
dicuekin,
didaftarkan,
didalam,
didambakan,
dideklarasikan,
didepan,
dididik,
didiskusikan,
didu,
diduga,
didukung,
didukungnya,
dieksekusi,
difitnah,
digabung,
digadang,
digemborkan,
digoblokin,
digoreng,
digoyang,
digusur,
dihambat,
diharapkan,
dihati,
dihindari,
dihujat,
diikuti,
diingat,
dijabat,
dijadikan,
dijalan,
dijalankan,
dijegal,
dijual,
dikalahin,
dikasih,
dikatakan,
dikelas,
dikerjakan,
dikira,
dikit,
dikoreksi,
dikritik,
dikte,
diktesalut,
dilaksanakan,
dilakuin,
dilakukan,
dilancarkan,
dilepas,
dilindungi,
diluar,
dimainkan,
dimainkannya,
dimaki,
dimaksud,
dimana,
dimanaaa,dimana
dimasalahkan,
dimata,
dimedia,
dimedsos,
dimenangkan,
dimiliki,
diminta,
dimohon,
dimulai,
dimusuhi,
dinamika,
dinamikanya,
dinantikan,
dingin,
dini,
dinikmati,
dinilai,
dinyatakan,
dinyinyir,
diopinikan,
dipahami,
dipajang,
dipakai,
dipaksa,
dipanggil,
dipasang,
dipasangkan,
dipastikan,
dipecat,
dipenjara,
dipenjarakan,
dipenjarakarma,
diperbincangan,
diperbincangkan,
dipercaya,
diperhitungkn,
diperintahkan,
dipertanyakan,
dipikir,
dipikirkan,
dipilih,
dipimpin,
dipinang,
dipolitisasi,
diproses,
dipuja,
diragukan,
dirangkul,
dirasakan,
direcokin,
diresmikan,
direstui,
diresturi,
diri,
dirinya,
diruang,
dirubah,
disahkan,
disajikan,
disalahkan,
disampaikan,
disangka,
disebabkan,
disebut,
diselamatkan,
diselesaikan,
disemua,
diserang,
disetir,
disini,
disitulah,
diskusi,
disodori,
disorot,
distop,
disukai,
disupport,
disuruh,
ditahun,
ditakan,
ditakuti,
ditandai,
ditangkap,
ditanya,
ditanyakan,
ditarik,
ditawari,
ditentukan,
diterima,
ditetapkan,
ditinggal,
ditipu,
ditugaskan,
ditujukan,
ditunda,
diukur,
diumpetin,
diumum,
diumumkan,
diumumkannya,
diungkit,
diusulkan,
diusung,
diusungnya,
diusut,
diutak,
djelantik,
dki,
dkung,
dll,
dngn,dengan
doa,
doang,
doh,
dok,dokter
dominan,
domino,
dong,
dongok,dungu
dosamu,
dosanya,
down,
doyan,
dp,
dpp,
dpr,
dprd,
ds,
dsb,
dst,
dtng,datang
dua,
duduk,
duet,
dugaan,
duit,
duka,
dukung,
dukungan,
dukungannya,
dukungkpkprosesanies,
dulu,
duluan,
dumay,
dungu,
dungukan,
dunia,dunia maya
dustakan,
dzolimi,
e,
earn,
ebong,kecebong
ebonger,
edan,
edukasi,
efek,
efeknya,
effect,
eforia,euforia
efouria,euforia
egp,
eh,
eka,
eko,
ekonomi,
ekor,
ekplotasi,eksploitasi
eksekutif,
eksternal,
ektp,
election,
elegan,
elektabilitas,
elektabilitasnya,
elektibilitas,
elemen,
eling,sadar
elite,
emanh,emang
embuh,
emil,
emosional,
empati,
empatimu,
empatinya,
empuk,
enak,
enembe,
eng,
enggak,
engkau,
entah,
entar,
ente,kamu
era,
erick,
erik,
eskalasi,
esok,
et,
etika,
etikanya,
ewok,
facebook,
facta,fakta
faham,paham
fakta,
fan,fans
fanati,fanatik
fanatik,
fanatis,
fe,
februari,
feeling,
figur,
figurnya,
fiikum,
fiksi,
film,
filosofi,
finalnya,
firli,
fisik,
fitnah,
fix,
fixed,
fokus,
follow,
followers,
for,
formal,
formula,
foto,
fotonya,
foya,
fpi,
fraksi,
framing,
friends,
fungsinya,
fvck,fuck
gaaaasss,gas
gabener,
gabung,
gabungan,
gadang,
gaduh,
gagah,
gagal,
gagalkan,
gagap,
gagas,
gagasan,
gak,
gambar,
gampang,
gang,
ganggu,
gangguan,
ganjar,
ganteng,
ganti,
gara,
gara²,
gaskeun,
gatot,
gaun,
gawat,
gaya,
gayanya,
gede,
gedung,
gejolak,
gelar,
geliat,
gencar,
genntor,gentar
gentayangan,
gentelmen,gentleman
gentleman,
gerbong,
gerinda,
gerindra,
gerindrs,gerindra
gerombolan,
gestur,
getol,rajin
gila,
gilap,gila
giliran,
gimana,
gimmick,
giring,
gitoh,gitu
gizi,
global,
gmana,gimana
go,
goal,
goblok,
goblokin,
gobloknya,
golhit,
golkar,
golongan,
golongannya,
golput,
gondangdia,
gonggongannya,
gonggonngin,
gonjing,
good,
gorong,
gout,
gp,ganjar
grade,
grasa,
gratis,
greget,
grup,
grusa,
grusu,
gt,gitu
gua,
gub,gubernur
gubenur,
gubernur,
gudbloon,
gue,saya
gugur,
guliran,
gun,
guna,
gunakan,
guntur,
guru,
gurunya,
gus,
gusdurian,
guys,
guyub,
gwee,saya
h,haji
ha,
haaa,
habfab,
habib,
habieb,habib
habis,
habisan,
habisi,
habisnya,
habitatnya,
hadiah,
hadir,
haha,hahaha
hahaha,hahaha
hahahaaa,hahaha
hahahaha,hahaha
hahahahaha,hahaha
hahahahahaha,hahaha
hahahahahahah,hahaha
hahahahha,hahaha
hahahahhaha,hahaha
hahahhaaa,hahaha
hai,
haji,
hak,
hakikatnya,
haknya,
hal,
halalkan,
haloo,halo
halu,halusinasi
hamble,humble
hampir,
han,
hancur,
hangat,
hangatnya,
hanif,
hantaman,
hanya,
hanyalah,
haram,
harap,
harapan,
harapkan,
harg,harga
harga,
hari,
hariandisway,
harimurti,
harta,
harun,
harus,
haruslah,
harusnya,
hashtag,
hasil,
hasilnya,
hasto,
hati,
hatinya,
hayo,
hayu,ayo
hayukkkk,ayo
head,
hebat,
heboh,
hee,
hehe,hahaha
hehehe,hahaha
heheheh,hahaha
hehehehe,hahaha
hemat,
henti,
heran,
here,
heru,
hey,
hhhh,hahaha
hi,
hidayah,
hidung,
hidup,
hilang,
hilangnya,
hill,
himbauan,
hina,
hingga,
hitam,
hitungan,
hmmmmm,hmm
hoax,hoaks
holistik,
horeee,hore
hormat,
hormati,
hrg,harga
hrpan,harapan
hslinya,hasilnya
hti,hati
huahaaaa,hahaha
hubungan,
hubunggannya,hubungannya
hujan,
hujannya,
hujat,
hujatan,
hukum,
hukumnya,
hus,
hussst,
hutan,
hutang,
hybrid,
i,
ia,
ib,imam besar
ibadahnya,
ibhrs,
iblis,
ibu,
ibukota,
idaman,
idamannya,
ide,
ideal,
identik,
identitas,
idiot,
ii,
ijazah,
ijazahnya,
ijin,
ikhtiar,
iki,ini
ikn,
iku,ikut
ikut,
ikutan,
ilmu,
imbalan,
imigran,
imin,
imo,opiniku
implisit,
impor,
impressed,
indah,
indak,tindak
indar,
indarparawangsa,
indentitas,
independen,
indikasi,
indikator,
indititas,
indonesia,
indonesiaberharap,
indonesiaharusbersamaorangbaik,
indonesiamemanggil,
info,
informasi,
ingat,
ingin,
inginkan,
ini,
inikah,
inikan,
inilah,
inimah,
injury,
inkompetensi,
insha,
inshaa,
inshaaallah,
inshaallah,
insya,
insyaa,
insyaaallah,
insyaallah,
integritas,
intelektual,
inteletual,
internal,
internasional,
intervensi,
intinya,
investasi,
inyaallah,
iq,
iri,
irma,
is,
iseng,
isi,
isinya,
islam,
istana,
istiqomah,
istirahat,
istri,
isu,
isunya,
itc,
itikad,
itu,
itukan,
itulah,
itupun,
iwan,
iya,
iyain,
izin,
izinkan,
jabatan,
jabatannya,
jadi,
jadikan,
jaga,
jago,
jagoannya,
jagoin,
jahat,
jajang,
jakarta,
jakowi,jokowi
jakrta,jakarta
jalan,
jalani,
jalannya,
jalur,
jam,
janda,
jangan,
jangankan,
janganlah,
janji,
janjinya,
jansen,
jantung,
jarang,
jas,
jasmerah,
jatah,
jateng,
jatuh,
jatuhkan,
jauh,
jauhhhhhhhh,jauh
jauhkan,
jawa,
jawab,
jawaban,
jawabannya,
jawatimur,
jaya,
jazakumullah,
jdkan,jadikan
jedah,
jegal,
jejak,
jejaknya,
jelang,
jelas,
jelasin,
jelaskan,
jelek,
jeli,
jempol,
jenazah,
jend,jenderal
jenderal,
jenggot,
jepang,
jeung,dan
jijik,
jika,
jilid,
jis,
jiwa,
jkw,jokowi
jls,jelas
jo,
joged,joget
jogja,
join,
joke,
joko,
jokowe,jokowi
jokowi,
jongkok,
jongos,
joyoboyo,
jual,
judul,
juga,
jujur,
juli,
jum,
jumpa,
jungjungan,
junjung,
junjungan,
jurdil,
jurus,
justru,
juta,
jutaan,
k,ke
kabarnya,
kabel,
kabur,
kabut,
kaca,
kacir,
kacung,
kadalin,
kadaluarasa,
kademisi,akademisi
kader,
kadernya,
kado,
kadran,
kadrun,
kafan,
kafilah,
kafirun,
kagak,tidak
kaget,
kah,
kahfi,
kain,
kak,kakak
kakak,
kakek,
kaki,
kala,
kalah,
kalang,
kalangan,
kalau,
kalean,kalian
kaleeeeee,kali
kalem,
kaleng²,
kali,
kalian,
kalimantan,
kalimat,
kalinya,
kalla,
kalo,
kambing,
kami,
kamil,
kampanye,
kampanyekan,
kampanyenya,
kampret,
kampung,
kamu,
kan,
kanan,
kancah,
kandang,
kandidat,
kang,
kanjuruhan,
kanker,
kans,
kansnya,
kantor,
kapabel,
kapabilitas,
kapal,
kapan,
kapanpun,
kapasitas,
kapasitasnya,
kapolri,
karakter,
karangharum,
karbitan,
karena,
karma,
karya,
karyanya,
kash,kasih
kasih,
kasihan,
kasus,
kasusnya,
kata,
katain,
katakan,
katanya,
katanyademokrasi,
kau,
kaum,
kaumnya,
kawal,
kawan,
kayak,
kayaknya,
kdunguan,kedunguan
ke,
keadaan,
kebaikan,
kebajikan,
kebakaran,
kebal,
kebangsaan,
kebanjiran,
kebanyak,
kebayakan,
kebebasan,
kebelakang,
kebenaran,
kebencian,
keberanian,
keberhasilannya,
keberkahan,
kebetulan,
kebijakan,
kebijakannya,
keblinger,
kebodohan,
keburu,
kebusukan,
kecepetan,
kecerdasan,
kecerdasannya,
kecerobohannya,
kecewa,
kecewe,kecewa
kecil,
kecuali,
kedamaian,
kedapatan,
kedepan,
kedepannya,
kedrunisasi,
kedua,
keduanya,
kedudukannya,
keduman,
kedunguan,
kedungwaringin,
kegiatan,
kehabisan,
kehadiran,
kehebatan,
kehidupan,
kehilangan,
keinginan,
keinginannya,
kejadian,
kejam,
kejang,
keji,
kejujuran,
kekentalan,
kekeuh,memaksa
kekuasaan,
kekuatan,
kekurangan,
kelabakan,
kelakuan,
kelar,
kelas,
kelaurga,
kelebihan,
kelihatan,
kelihatane,kelihatannya
keliling,
keliru,
kelojotan,
kelompok,
keluar,
keluarga,
keluarganya,
keluarkan,
keluarnya,
kelurahan,
kemajuan,
kemampuan,
kemana,
kemang,
kemanusia,
kemarin,
kemaritiman,
kembali,
kemenangan,
kemenanganbersama,
kemenko,
kemiskinan,
kempen,
kemudian,
kemunafikan,
kemunduran,
kemungkinan,
kena,
kenaikan,
kenak,kena
kenanya,
kenapa,
kencang,
kendali,
kendalikan,
kendari,
kenpa,kenapa
kentara,
kenyataan,
kenyataannya,
keok,kalah
kepada,
kepala,
kepanasan,
kepemimpinannya,
kepemukiman,
kepentingan,
kepentingannya,
kepercayaan,
kepilih,
kepinteran,
kepuasan,
keputusan,
kerabat,
kerahkan,
keras,
kerasnya,
keren,
kerennampak,
kereta,
keringat,
kerja,
kerjaannya,
kerjaanya,kerjaannya
kerjanya,
kerjo,kerja
kerobohan,
kertas,
kesadaran,
kesalahan,
kesantunannya,
kesatuan,
kesehatan,
kesempatan,
kesenjangan,
kesulitan,
ketahuan,
ketahui,
ketakutan,
ketat,
ketawa,
ketepuu,ketipu
keterangan,
keterangannya,
keterlaluan,
keterpilihannya,
keterpurukan,
ketertinggalan,
ketidak,
ketika,
ketimbang,
ketinggian,
ketua,
ketum,
ketumnya,
keturuan,
keturunan,
keun,biarkan
keuntungan,
keuntungannya,
kewarganegaraan,
khalas,kelas
khan,kan
khas,
khawatir,
khilafah,
khofifah,
khoiran,
khusu,khusus
khusus,
kiamatpun,
kian,
kib,
kibul,berbohong
kibuli,tipu
kinclong,mengkilap
kinerja,
kinerjanya,
king,
kini,
kipas,
kiprahnya,
kira,
kisahfiktifdinegerifiksi,
kita,
kkb,
kl,kalau
klausul,
klojotan,
kls,kelas
klub,
km,kamu
koalisi,
koar²,
kocak,
kocar,
kode,
kodrun,
kofifah,
kok,
kokoh,
kolam,
kolem,kolam
komandan,
komando,
kombinasi,
komedi,
komentar,
komicalis,komisaris
komidmen,komitmen
kominitas,komunitas
komisaris,
komitmen,
komitmennya,
kompas,
kompetensi,
kompetisi,
komplet,komplit
komunis,
komunitas,
kondisi,
konflik,
konotasi,
konsekuensi,
konsen,konsentrasi
konstelasi,
konstituen,
konstruksi,
konteks,
konten,
kontestasi,
kontribusi,
kopasus,
koplok,
kopyor,
korban,
koreksi,
korelasinya,
korupsi,
koruptor,
kota,
kotak,
kpk,
kpknya,
kpu,
kpud,
kredibel,
kredibilitas,
kredible,kredibel
kremi,
kriminalisasi,
kriteria,
kritik,
kta,
ktakutan,ketakutan
ktp,
ku,
kualifikasi,
kualitas,
kuasanya,
kuat,
kuda,
kudet,
kudu,harus
kuku,
kukunya,
kumis,
kumpulang,
kunjungi,
kunted,
kupon,
kurang,
kursi,
kusuk,
kutukan,
kwalitas,kualitas
kwkwkkww,wkwkwk
label,
labih,lebih
laenya,lainnya
lagi,
lagian,
lagu,
lah,
lahhh,lah
lahir,
lain,
lainnya,
lainya,
laju,
lajur,
laki,
laku,
lakukan,
lalai,
lalu,
lama,
lamiin,
lancar,
langga,
langit,
langkah,
langsung,
lanjut,
lanjutan,
lanjutkan,
lankah,langkah
lantas,
lantik,
lapangan,
lapis,
lapor,
laporan,
laporin,
laporkan,
lari,
lastari,
latar,
laut,
lawak,
lawan,
lawannya,
layak,
layangkan,
lebar,
lebay,
lebih,
legal,
legalitas,
legislatif,
legowo,
lelah,
leluasa,
leluhur,
lemahnya,
lembaga,
lengser,
lepas,
lepehin,muntahkan
let,
level,
lewat,
lewati,
lewatkan,
lg,lagi
lgsng,langsung
lho,loh
liberal,
licik,
lihat,
lima,
lindung,
lindungan,
lingkaran,
lingkungan,
litbang,
live,
lndonesia,
lngsng,langsung
lo,kamu
loe,kamu
logika,
logis,
loh,
lolos,
lontong,
loo,kamu
lord,raja
love,
loyal,
lu,kamu
luar,
luarnya,
luas,
lucu,
luh,kamu
luhh,kamu
luhur,
lukas,
lulus,
lumayan,
lumrah,
luntang,
luntung,
lupa,
lur,bro
lurah,
maaf,
maasyaa,masya
mabuk,
macam,
macan,
mafia,
mah,
mahal,
maharani,
mahfud,
main,
mainan,
mainin,
mainstream,
majelis,
majemuk,
maju,
majukan,
majunya,
mak,ibu
maka,
makan,
makanan,
makanya,
makassar,
maker,
maki,
makin,
maksa,
maksiat,
maksud,
maksudnya,
malah,
malam,
malang,
malas,
mall,
malu,
mamajukan,
mamat,
mampu,
mampuan,
mana,
manapun,
mandalika,
mandatory,
mandir,
mandiri,
maneh,kamu
mangkanya,
manifestasi,
mantab,mantap
mantan,
mantap,
mantapkan,
mantuuuul,mantap
manual,
manusia,
manut,nurut
manuver,
manuvernya,
manyukai,
manyun,
mar,
marah,
march,
mardigu,
mari,
marilah,
markhotopp,mantap
markotop,mantap
marusak,merusak
mas,
masa,
masak,
masal,
masalah,
masalahnya,
masalalu,
masebiet,
mashaallah,
masif,
masih,
masiku,
masing,
masiv,
masjid,
massa,
massanya,
