slang,formal
masuk,
masuknya,
masyarakat,
mata,
materi,
mati,
matian,
matic,
matipun,
maturnuwun,
mau,
maunya,
maupun,
mayat,
mayoritas,
mbak,
mbok,
md,
means,
medan,
media,
medsos,
mega,
mejadii,menjadi
mekanisme,
melaksanakan,
melakukan,
melalui,
melampaui,
melanggengkan,
melanjutkan,
melawan,
melebihi,
melejit,
melemahkan,
melepaskan,
meleset,
melihat,
melihatnya,
melindungi,
melintang,
melobi,
melontarkan,
melukai,
melulu,
melunasi,
melupakan,
meluruskan,
memaafkan,
memahaminya,
memajang,
memajukan,
memakai,
memaksa,
memalsukan,
memalukan,
memamkai,
memanfaatkan,
memang,
memanggil,
memangkas,
memangnya,
membaca,
membahayakan,
membahu,
membangun,
membantu,
membawa,
membayar,
membeberkan,
membekas,
membenci,
membendung,
membentuk,
memberi,
memberikan,
membesar,
membicarakan,
membuat,
membuka,
membuktikan,
membully,
membumi,
membutuhkan,
memcalonkan,
memecah,
memenangkan,
memenangkn,memenangkan
memenuhi,
memfitnah,
memikat,
memikirkan,
memilih,
memiliki,
memilikinya,
memimpin,
meminjam,
meminta,
memperbaiki,
memperbesar,
memperhatikan,
memperjelas,
memperjuangkan,
memperkenalkan,
memperkuat,
memperoleh,
mempertanyakan,
mempromosikan,
mempunyai,
memuji,
memukul,
memulai,
memunculkan,
memungkinkan,
memutuskan,
men,
menaikan,
menampak,
menampakkan,
menancapkan,
menandakan,
menang,
menanggung,
menangkan,
menanti,
menantu,
menarik,
menawarkan,
menayangkan,
mencaci,
mencalokan,
mencalon,
mencalonkan,
mencalonkannya,
mencapai,
mencapreskan,
mencari,
mencegah,
mencemarkan,
mencermati,
mencetak,
mencintai,
menciptakan,
mencoba,
mencounter,
mencuri,
mendaftarkan,
mendagri,
mendampingi,
mendampinginya,
mendapat,
mendapatkan,
mendarah,
mendatang,
mendaulat,
mendekati,
mendeklarasikan,
mendengar,
menderita,
mendin,mending
mending,
mendingan,
mendiskusikan,
mendongkrak,
mendorong,
mendukung,
mendungu,
menebarkan,
menekan,
menelan,
menemui,
menemukan,
menentang,
menentukan,
menepati,
menerapkan,
menerima,
menerus,
meneruskan,
menetapkan,
menetes,
menewaskan,
meng,
mengabaikan,
mengabulkan,
mengacak,
mengaco,
mengadakan,
mengajak,
mengajukan,
mengakak,
mengakhiri,
mengaku,
mengalah,
mengalahkan,
mengalami,
mengalihkan,
mengangkat,
mengantikan,
menganut,
mengapa,
mengapresiasi,
mengasih,
mengatakan,
mengatasi,
mengatur,
mengawal,
mengedepankan,
mengejek,
mengekor,
mengelola,
mengema,
mengenai,
mengendalikan,
mengerami,
mengerti,
mengetahui,
mengganggu,
mengganti,
menggantikan,
menggelontorkan,
menggeser,
menggiring,
menggonggong,
menggoreng,
menghadapi,
menghadapinya,
menghalanginya,
menghalu,menghalusinasi
menghanncurkan,
menghantam,
mengharamkan,
menghargai,
menghasut,
menghendaki,
menghibur,
menghina,
menghindar,
menghitung,
menghubungi,
menghujat,
mengidolakan,
mengikuti,
mengimbangi,
mengingat,
mengingatkan,
menginginkan,
mengira,
mengiri,iri
mengkafirkan,
mengkampanyekan,
mengkerut,
mengkhianati,
mengkilap,
mengobati,
mengoceh,
mengomong,
menguasai,
mengucap,
mengucapkan,
mengumbar,
mengumumkan,
mengumunkan,
mengundurkan,
mengungguli,
mengunjungi,
menguntungkan,
mengurangi,
mengurusi,
mengusulkan,
mengusung,
mengusungnya,
menhan,
menikmati,
menilai,
menimbang,
menimbulkan,
menimpa,
meninggal,
meninggalkan,
meningkat,
meningkatnya,
menipu,
menjabat,
menjadi,
menjadih,
menjadikan,
menjalankan,
menjanjikan,
menjatuhkan,
menjd,menjadi
menjegal,
menjegalnya,
menjelang,
menjelaskan,
menjelekkan,
menjelek²,
menjijikan,menjijikkan
menjijikkan,
menjual,
menolak,
menonton,
mensosialisasikan,
mentah,
mental,
menteng,
mentereng,
menteri,
menterinya,
mentersangkakan,
mentri,menteri
menuju,
menunggu,
menunjuk,
menunjuknya,
menurun,
menurunnya,
menurut,
menuruti,
menutupi,
menyaingi,
menyakin,
menyakiti,
menyakitinya,
menyalahkan,
menyambutnya,
menyangkut,
menyapu,
menyatakan,
menyatu,
menyatukan,
menyebar,
menyebutkan,
menyelamatkan,
menyerah,
menyerang,
menyertai,
menyertaimu,
menyesal,
menyesatkan,
menyiapkan,
menyimpan,
menyindir,
menyinggung,
menyingkirkan,
menyolatkan,
menyongsong,
menyuarakan,
menyukai,
menyumbangkan,
menyusul,
meraih,
merajalela,
merajut,
merangkul,
merapat,
merasa,
merata,
merauke,
meraup,
merdeka,
merealisasikan,
merebut,
meredam,
mereka,
merekakan,
merendahkan,
meresap,
meriang,
meridoi,
merinding,
merindukan,
meroket,
merosot,
mersuk,merusak
merubah,
merupakan,
merusak,
meski,
meskipun,
mesti,
mestinya,
metro,
mewah,
mewakili,
mic,
micromanage,
mikerrrrrr,mikir
mikir,
milah,
mili,milih
milih,
milik,
militer,
mimpi,
mimpiin,
mimpimu,
mimpin,
mimpinya,
min,
minang,
minggir,
mingkem,
minimal,
minoritas,
minpin,mimpin
minum,
minus,
minusnya,kurangnya
mirip,
misal,
misalnya,
misi,
miskin,
mjd,menjadi
mjdi,menjadi
mkirin,mikirin
mmbrikan,memberikan
mmgg,memang
mmng,memang
mnatp,mantap
mobil,
model,
moderen,modern
moga,
mohon,
mojokin,
momen,
monaco,
mondar,
monuver,
moral,
mostpolling,
mostupdate,
motong,
motor,
mr,
msdepn,masa depan
mu,
muak,
mual,
muda,
mudah,
mudaham,mudahan
mudahan,
mudah²an,
muhaimin,
muhamadyah,muhammadiyah
muka,
mukanya,
mukidi,
mulai,
mulia,
mulu,
mulut,
mumpung,
mumpuni,
munafik,
munafikun,
muncul,
mundur,
mungkin,
mungkinkah,
mungkjn,mungkin
murid,
musibah,
musim,
muslim,
musnahkan,
mustahil,
musuh²an,
mutu,
n,dan
naadac,
nabi,
nafsu,
nah,
naik,
naikin,
najis,
nalar,
nama,
namanya,
nambah,
nampaknya,
namun,
nangkep,tangkap
nanti,
nantinya,
nantitnya,nantinya
nanya,
napa,kenapa
nape,kenapa
napi,
narasi,
narasinya,
nasdem,
nasdembersamaanies,
nasdembersamaaniesbaswedan,
nasdembersamarakyat,
nasdembersmarakyat,
nasdemhebat,
nasdemprobolinggo,
nasdrun,
nasi,
nasional,
nasionalis,
nasionalisme,
ndiri,sendiri
negara,
negatif,
negeri,
nekan,
nekat,
neko,macam
netijen,netizen
netizen,
netral,
never,
news,
ngabisin,
ngalor,
ngamuk,
nganu,itu
ngapa,mengapa
ngapai,ngapain
ngapain,
ngaruh,
ngaruhnya,
ngawur,
nge,
ngebacot,
ngejegalnya,
ngejelikin,ngejelekin
ngeles,menampik
ngerecokin,
ngeri,
ngeroyok,
ngerubah,
ngibul,bohong
ngibulnya,bohongnya
ngidul,
ngmong,ngomong
ngomel,
ngomentari,mengomentari
ngoni,
ngotot,
ngra,negara
ngumpul,
ngurusi,mengurusi
ngurusin,mengurusi
ngusulin,mengusulkan
ni,ini
niat,
nie,ini
nih,ini
nilai,
niluh,
ninang,
nis,anies
nitezen,netizen
nkri,
no,
nofember,november
noh,itu
nol,
nomor,
non,
nongol,muncul
normalisasi,
notabene,
novel,
november,
now,
ntb,
ntinya,nantinya
ntr,nanti
ntt,
ntu,itu
nu,
nul,
number,
numpuk,
nungga,nunggu
nunjuk,
nunjukin,
nurani,
nurmantyo,
nurut,
nusantara,
ny,nya
nya,
nyagub,
nyahok,
nyali,
nyalon,
nyalonin,mencalonkan
nyaman,mencalonkan
nyampah,
nyampek,sampai
nyantol,nyangkut
nyapres,
nyata,
nyatanya,
nyebong,
nyebutnya,
nyinyir,
nyinyiran,
nylametin,menyelamatkan
nyoblos,mencoblos
nyumbang,
nyuruh,
obama,
obat,
obyektif,
oce,
odgj,
of,
ogaaahh,tidak
oge,juga
oh,
oia,ohiya
ojo,jangan
ok,oke
oke,
okelah,oke
okigarkhi,oligarki
oktober,
oleh,
oligarki,
om,
ombak,
omprengan,
on,
one,
online,
oooo,oh
ooooo,oh
opini,
opo,apa
oposisi,
opportunis,
optik,
optimis,
ora,bukan
orang,
orangan,orang
orange,
orator,
oresiden,presiden
organisasi,
organisasinya,
orgasme,
ormas,
otak,
otakmu,
otaknya,
otomatis,
otw,dijalan
over,
p,
pa,
pada,
padahal,
padanya,
pagi,
paham,
pahlawan,
pajang,
pak,
pakai,
pakaniespresidenri,
pakar,
pakqi,pakai
paksa,
paksin,vaksin
paksinan,vaksin
paling,
pallo,paloh
palo,paloh
paloh,
palsu,
pamit,
panas,
pancasila,
pancasilais,
pancingan,
pandai,
pandangan,
panggung,
pangkatnya,
panglima,
panik,
paniknya,
panjang,
panjenengan,kamu
pank,panik
pantas,
pantunnya,
papua,
para,
parah,
paratai,partai
parawangsa,parawansa
parkir,
parlemen,
parlementer,
parpol,
parrtainya,partainya
partai,
partaiku,
partaimu,
partainya,
parte,partai
pas,
pasal,
pasang,
pasangan,
pasar,
pasca,
paslon,
paste,
pasti,
pastikan,
pasukan,
patah,
patut,
pautnya,
payah,
pd,pada
pdi,
pdip,
pecah,
pecat,
pecatan,pecat
pedeipeh,pdip
pedukung,
peduli,
pegang,
pegunungan,
pejabat,
pekan,
pekanbarubersamanies,
pekerjaan,
pekok,
pelawak,
pelayan,
pelepasan,
peliharaan,
peluang,
pemain,
pembahasan,
pembangunan,
pembelaan,
pembenci,
pemberani,
pemberitahuan,
pemberontak,
pembesar,
pembina,
pembinanya,
pembuatan,
pembunuhan,
pemenang,
pemerintah,
pemerintahan,
pemersatu,
pemfitnah,
pemikiran,
pemiku,pemilu
pemilih,
pemilihan,
pemilihnya,
pemilik,
pemilu,
pemimpi,
pemimpin,
pemimpinnya,
pemimpin²,
pemuka,
penakut,
penangkapan,
penasehat,
pencalonan,
pencalonannya,
pencalonnya,
pencapresan,
pencitraan,
pendaftaran,
pendamping,
pendapat,
pendapatnya,
pendd,pendidikannya
pendek,
pendekatan,
pendeklarasian,
pendengki,
pendeta,
pendidik,
pendidikan,
pendidikannya,
pendiri,
penduduk,
pendukung,
pendukungan,
pendukungnya,
peneliti,
penentuan,
penerus,
penetapan,
pengadilan,
pengalaman,
pengalihan,
pengamat,
pengangguran,
pengaruh,
pengecut,
pengelolaan,
pengennya,
penggagalan,
pengganti,
penggati,
penggembira,
penggusuran,
penghargaan,
penghina,
penghuni,
pengikut,
pengin,ingin
pengkhianat,
pengkhianatan,
penguasa,
penguatan,
pengumuman,
pengusung,
pengusungan,
pengusungnya,
penilaian,
penista,
penjara,
penjaringan,
penjelasan,
penjilat,
penjual,
penonton,
pensiun,
pensiunpun,
penting,
penuh,
penuhi,
penulis,
penumpang,
penyakit,
penyaluran,
penyambutan,
penyelenggaraan,
penyuka,
perahu,
perang,
perbedaan,
percaya,
percayalah,
percuma,
perduli,
perempuan,
perestasi,
pergantian,
pergerakan,
pergi,
perhatian,
perhatikan,
perhitungan,
periksa,
perintah,
periode,
perjalanan,
perjuangan,
perjuangannya,
perkara,
perkasa,
perkembangan,
perkiraan,
perlahan,
perlambang,
perlindungan,
perlu,
permadi,
permintaan,
permusuhan,
pernah,
pernyataan,
perolehan,
perorangan,
perpanjangan,
perpecahan,
perpindahan,
perpolitikan,
persatuan,
persen,
persiakan,
persoalan,
person,
persyaratan,
pertama,
pertamina,
pertanda,
pertanyaan,
pertarungan,
pertayaan,
pertemuan,
pertimbangan,
perubahan,
peruntungan,
pesaing,
pesan,
pesimis,
pesonamu,
pesta,
peta,
peter,
petinggi,
petisi,
petugas,
php,
piara,pelihara
picik,licik
pidatonya,
pihak,
pihaknya,
pikir,
pikiran,
pikirkan,
pileg,
pilgub,
piliah,pilihlah
pilih,
pilihan,
pilihannya,
pilkada,
pilot,
pilpres,
pimpin,
pimpinan,
pinak,
pintar,
pinteran,pintaran
pintu,
pioneer,pelopor
piye,
pkb,
pki,
pkpi,
pks,
plan,
plat,
pleciden,preisden
plin,
pluralisme,
plus,
pns,
pokok,
pokoke,pokoknya
pokokne,pokoknya
pokoknya,
pola,
polesan,
poligami,
politik,
politiknya,
politikus,
politisasi,
politisi,
polling,
pollingilc,
polri,
popularitas,
populer,
porno,
pos,
posisi,
positif,
potensi,
potential,
ppp,
prabowo,
pragmatisme,
praktis,
prame,frame
prank,
pranowo,
prayforkanjuruhan,
preaiden,presiden
prediksi,
prediksinya,
premium,
prengus,perengus
prepare,
pres,presiden
presidan,presiden
presidean,presiden
presideb,presiden
presiden,
presidenku,
presidennya,
presidensial,
president,presiden
presidenterbaik,
presiedn,presiden
presinden,presiden
prestasi,
prestasinya,
prestasj,
presıden,prestasi
pria,
pribadi,
pribadinya,
pribumi,
prinsip,
prioritas,
prl,perlu
pro,
problem,
probowo,
prof,profesor
profesional,
profesionalisme,
profesor,
profil,
program,
proklamator,
promo,
promosikan,
propinsi,provinsi
proses,
prosesnya,
prrstasinya,prestasinya
psi,
pt,presidentialthreshold
puan,
puanlah,
puas,
publik,
pujaannya,
puji,
pukul,
pukulan,
pula,
pulang,
pulau,
puluhan,
pumya,punya
pun,
puncaknya,
pungli,
punguk,
punya,
purnama,
purnawirawan,
pusat,
putaran,
putra,
putus,
putuskan,
qursi,kursi
r,rasyid
rabbal,
radikal,
radikalis,
radikalisme,
ragukan,
rais,
raja,
rajin,
rakyat,
rakyatnya,
ramah,
ramai,
ramalan,
rame,
rampok,
ranah,
rangga,
rapat,
rapatkan,
rapor,
ras,
rasa,
rasanya,
rasid,rasyid
rasional,
rasyid,
rata,
ratusan,
reaksinya,
real,asli
realitasdia,realitas dia
realnya,aslinya
receh,
record,rekam
recordnya,rekam
redup,
refly,
register,
rekam,
rekan,
rekayasa,
reklamasi,
rekrut,
rektor,
relawan,
relax,
relek,rileks
religius,
rencana,
rendah,
reportnya,
representasi,
republik,
resapan,
resmi,
respect,
responden,
restorasi,
restu,
resufle,
retorika,
rezim,
ri,
riaubersamaanies,
ribet,
ribu,
ribut,
ridhoi,
ridwalkamil,
ridwan,
rindu,
ring,
risma,
rivalnya,
riziek,
rizik,
riziq,
rk,ridwan
roadshow,
rodo,rada
romlah,
rp,
rs,
rt,
ruang,
ruf,
rugi,
rugiin,
ruhut,
rukun,
rumah,
rumahnya,
rumput,
runner,
rupa,
rupanya,
rusak,
rush,
rusuh,
rusun,
s,
saat,
saatnya,
sabang,
sabar,
sabtu,
sadar,
sadara,
sah,
saha,
sahabat,
saia,
saingan,
saja,
saking,
sakit,
sakitnya,
salah,
salahnya,
salam,
salaman,
salamrestorasi,
salim,
saling,
salut,
sama,
sambil,
sambo,
sambung,
sampah,
sampai,
sampaikan,
sampeyan,kamu
sampyan,kamu
sana,
sandiaga,
sandiwara,
sang,
sangat,
sanggup,
sangka,
sangking,saking
sangkut,
sanjung²,
santai,
santer,
santri,
santun,
santuy,santai
sapapun,siapapun
saran,
sarat,syarat
satpam,
satu,
satukan,
satumejatheforum,
satun,santun
satunya,
satupun,
saudara,
saudaraku,
saveaniesbaswedan,
sawah,
saya,
sayang,
sayangnya,
sayentipic,scientific
sbgi,sebagai
sby,
scientific,
sd,
sdgkan,sedangkan
sdhbrp,sudah berapa
se,
seandainya,
seaqidah,seakidah
sebab,
sebagai,
sebagaimana,
sebagan,sebagai
sebagi,sebagai
sebagian,
sebaiknya,
sebaliknya,
sebanyak²,
sebar,
sebarkan,
sebatas,
sebegitu,
sebelah,
sebelum,
sebelumnya,
sebenarnya,
sebentar,
seberapa,
seberat,
sebesar,
seblm,sebelum
sebodoh,
sebrang,seberang
sebuah,
sebulan,
sebut,
sebutan,
sebutkan,
secara,
secepatnya,
sedang,
sedangkan,
sedemikian,
sedikit,
sedinamis,
see,
segala,
segalanya,
segampang,
segan,
segera,
segitu,
sehari,
seharusnya,
sehat,
sehebat,
sehingga,
seiman,
seirang,seorang
sejahtera,
sejajar,
sejak,
sejalan,
sejarah,
sejati,
sejatinya,
sejauh,
sejenak,
sejenisnya,
sejuk,
sejumlah,
sekadar,
sekali,
sekalian,
sekaligus,
sekarang,
sekedar,
sekejap,
sekelas,
sekeluarga,
sekian,
sekitar,
seksi,
selain,
selaku,
selalu,
selama,
selamanya,
selamat,
selamatkan,
selangkah,
selanjut,
selanjutnya,
selatan,
seleksi,
selesai,
selfie,
seluruh,
semakin,
semalam,
semangad,semangat
semangat,
semata,
sembako,
sembarang,
semboro,sembrono
sembrono,
sembuh,
semenjak,
sementara,
semoga,
sempat,
semprul,
semua,
semuanya,
semudah,
senang,
senayan,
sendiri,
sendirian,
senen,
senengnya,senangnya
sengaja,
seni,
senin,
senior,
sense,
seolah,
seorang,
sepak,
sepakat,
sepakbola,
sepaket,
sepatutnya,
sepeda,
sepenuhnya,
seperti,
sepertinya,
september,
seragam,
serahkan,
serakah,
seramainya,
serang,
serangan,
serendah,
serentak,
seribu,
sering,
serta,
seru,
servis,
sesaat,
sesama,
sesat,
seseorang,
sesepuh,
sesi,
sesma,
sessions,
sesuai,
sesuatu,
sesungguhnya,
setan,
setara,
setelah,
setiap,
setidaknya,
setingan,settingan
setinggi,
setir,
setuju,
seumpamanya,
seumur,
sewaktu,
sgra,segera
shaa,
shafig,
shg,sehingga
shihab,
sia,kamu
siang,
siap,
siapa,
siapakah,
siapapun,
siapun,
sibuk,
sifat,
sifatnya,
signifikan,
sih,
sikap,
sikapnya,
silakan,
siluman,
simak,
simpan,
simpati,
simpatik,
simpatisan,
sindir,
sindiran,
singgungannya,
singkirkan,
sini,
sinting,
sipat,
sipil,
siregar,
sirik,
sis,
sisi,
sistem,
sistim,sistem
situ,
situasi,
situlah,
skenario,
skenarionya,
skrg,sekarang
slesai,selesai
slh,salah
slogan,
smrc,
snua,semua
soal,
soale,soalnya
soalnya,
sodara,
soekarno,
sok,
solehah,
solid,
solo,
solusi,
somasi,
sombong,
sono,sana
sontoloyo,
sopan,
sopir,
soraki,
sore,
sorot,
sosial,
sosialisasi,
sosialnya,
sosok,
sp,
spa,siapa
spanduk,
spanduknya,
spontan,
sportif,
srek,cocok
ss,
ssdh,sesudah
start,
stasiun,
statmen,statement
status,
statusnya,
stiker,sticker
stok,
stop,
strategi,
strategis,
streamed,
stres,
stresss,stres
stretegi,strategi
stroke,
struk,
suami,
suara,
suarakan,
suaranya,
suatu,
subhanawataalla,
subianto,
sudah,
sudahlah,
sudi,
suka,
sukai,
sukses,
suku,
sulawesi,
sumbawa,
sumpah,
sumur,
sungai,
sungguh,
sunnahtullah,
supaya,
supir,
support,
surabaya,
suram,
surat,
suraya,
surga,
suruh,
surut,
survei,
surveinya,
survey,survei
surya,
suryopaloh,
susah,
susi,
suwun,
swt,
syaa,
syaiku,
syarat,
t,
ta,
taat,
tabik,
tadi,
taeek,tahi
tahapannya,
tahi,
tahu,
tahun,
taikers,tahi
taikkkk,tahi
tail,
tajam,
tak,
takdirnya,
takhta,
takkan,
taksi,
taktik,
takut,
takuti,
takutnya,
talang,
taliban,
tama,
tambah,
tampak,
tampakkan,
tampil,
tampilin,
tampilkan,
tanah,
tanda,
tandanya,
tangan,
tangga,
tanggal,
tanggapannya,
tangguh,
tanggung,
tangkap,
tanjakan,tanjakkan
tanjung,
tanpa,
tantang,
tanya,
tanyakan,
tanyo,tanya
tapi,
taruhan,
tata,
tau,tahu
tauk,tahu
taun,tahun
tau²,
tawaran,
tawarin,
tayangan,
team,
tebaik,terbaik
tebang,
tegas,
teguh,
tehadap,terhadap
tekad,
tekanan,
tekel,
telah,
telak,
televisi,
telur,
teman,
tembok,
tempat,
temuan,
tenaga,
tenan,
tenang,
tenar,
tengah,
tenggara,
tenggelam,
tenggelamkan,
tenggelamkananiesnasdem,
tenggelamkannasdem,
tenggelamkanpartainasdem,
tentang,
tentu,
tentuin,
tentukan,
tentunya,
tenun,
teori,
tepat,
tepatnya,
ter,
terakhir,
terarah,
terasa,
terbaik,
terbaiklah,
terbaiknya,
terbalik,
terbang,
terbangnya,
terbanyak,
terbayang,
terbayar,
terbelah,
terbentuk,
terbiasa,
terbodoh,
terbuka,
terbukti,
terburu,
terburuk,
terdaftar,
terdahulu,
terdepan,
terdompleng,
tereak,teriak
tereaknya,teriaknya
terealisasi,
tergerus,
tergoblok,
terhadap,
terhebat,
terhibur,
terhina,
terhormat,
teriak,
teriakan,
terima,
terimah,
terimakasih,
terindah,
terjadi,
terjang,
terkait,
terkenal,
terkuat,
terlalu,
terlarang,
terlebih,
terlibat,
terlihat,
termakan,
termasuk,
ternyata,
terobosan,
terpaforit,terfavorit
terpaksa,
terpedaya,
terpengaruh,
terpenting,
terpenuhi,
terperangkap,
terpilih,
terpilihnya,
terpuruk,
tersangka,
tersebut,
tersendiri,
tersenyum,
terserah,
tersinggung,
tersiram,
tertakdir,
tertinggi,
tertuang,
tertuju,
tertutup,
teruji,
terukur,
terulang,
teruntuk,
terus,
terusik,
teruskan,
teruslah,
terutama,
terwujud,
tetangga,
tetanggal,
tetap,
tetapi,
tetepkam,tetapkan
tetiba,
tgup,
th,
thanks,
thankyouanies,
thd,terhadap
the,
thn,tahun
thohir,
threshold,
thx,thanks
tiada,
tiap,
tiba,
tidak,
tidaknya,
tidur,
tiga,
tiket,
tiketnya,
tiktokan,
tim,
time,
timses,
timun,
timur,
tindakan,
tinggal,
tinggalkan,
tinggallah,
tingggi,tinggi
tinggi,
tingginyabnaik,
tingkatkan,
tinjauan,
tionghoa,
titik,
titip,
tito,
tjahaja,
tlong,tolong
tni,
tntu,tentu
toh,
tohir,
tokoh,
tolak,
tolol,
tolong,
tong,
top,bagus
topp,bagus
total,
tower,
tps,
tpt,tepat
track,jejak
tragedi,
trasi,terasi
trial,
trimakasih,terimakasih
trlibat,terlibat
tsb,
tsiqah,
tubuh,
tuch,itu
tugas,
tugasnya,
tuh,itu
tuhan,
tujuannya,
tujuanx,tujuannya
tujukankan,tunjukkan
tukang,
tulis,
tumbuh,
tunda,
tunggal,
tunggu,
tunjukkan,
tuntas,
tuntaskan,
turun,
turunan,
turut,
tutup,
tutur,
tv,
tweet,
tweetnya,
twiitnya,tweetnya
twit,tweet
twitter,
u,kamu
uang,
ubek,
ucapkan,
udahan,
udang,
ude,sudah
uduk,
uighur,
ujang,
uji,
ujian,
ukurannya,
ulahnya,
ulama,
ulang,
ulas,
ultah,
ulu,
umat,
umum,
umumin,umumkan
umumkan,
umur,
undang,
undur,
unggahan,
unggul,
ungkit,
universitas,
unjuk,
uno,
untuk,
untung,
up,
uraaaaaa,uraaa
urang,
urus,
urusan,
urusi,
us,
usah,
usai,
usia,
usman,
ustaz,
usul,ustadz
usulan,
usulkan,
usulnya,
usung,
usungan,
usut,
uta,
utara,
utk,untuk
uu,
uud,
vario,
varionya,
verifikasi,
versi,
video,
vidio,video
virtually,
virus,
visi,
visinya,
visioner,
vs,versus
wacana,
wadas,
waduh,
wah,
wahai,
wahay,wahai
wahid,satu
wajah,
wajahnya,
wajar,
wajib,
wakil,
wakilnya,
waktu,
waktunya,
walau,
walaupun,
wali,
walikota,
walkot,
wan,
wanita,
wapres,
wapresnya,
waras,
warga,
warming,
warning,
washington,
waspadailah,
wawasan,
we,
wef,
welcome,
wi,
wib,
widodo,
wih,wah
wilayah,
will,
wilmar,
wis,
wkkk,wkwkwk
wkwk,wkwkwk
wkwkkw,wkwkwk
wkwkkwk,wkwkwk
wkwkw,wkwkwk
wkwkwk,wkwkwk
wkwkwkw,wkwkwk
wkwkwkwk,wkwkwk
wkwkwkwkw,wkwkwk
wkwkwkwkwk,wkwkwk
wkwkwkwkwkwk,wkwkwk
wlw,walau
wni,
wo,
woi,
woii,woi
wok,
wokokok,wkwkwk
wokwokwo,wkwkwk
wong,orang
wowkwkwkwkwwk,wkwkwk
wuiilhh,wah
xenia,
y,yang
ya,iya
yaa,iya
yad,
yaitu,
yakin,
yakni,
yaman,
yang,
year,
yen,
yeni,
yenny,
yesssss,yes
yi,ri
yoi,iya
you,
yra,
yth,
yudhoyono,
yuk,
yusuf,
yuukk,yuk
yuuuk,yuk
yv,yang
zaman,
‍️,
’y,
“kami,
”,
…,
…buka,
…coba,
…hihihi…,
……,
……bakal,
⁉️,
⁉️⁉️⁉️,
️,
️️️️,
🇮🇩,
🇮🇩aniesbaswedan,
🇲🇨🇲🇨🇲🇨,
🇾🇪🇾🇪,
